City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,puerto natales,-51.7236,-72.4875,-1.46,90,8,1.5,CL,1690147429
1,firuzabad,28.8438,52.5707,29.37,18,100,0.76,IR,1690147429
2,adamstown,-25.066,-130.1015,20.37,71,2,8.0,PN,1690147367
3,new plymouth,-39.0667,174.0833,13.23,91,100,1.71,NZ,1690147292
4,invercargill,-46.4,168.35,8.02,95,98,1.0,NZ,1690147364
5,bhamo,24.2667,97.2333,24.05,96,47,0.25,MM,1690147429
6,tiksi,71.6872,128.8694,6.15,68,4,2.83,RU,1690147392
7,arucas,28.1198,-15.5233,22.43,81,45,6.41,ES,1690147429
8,hettange-grande,49.4064,6.1506,21.51,69,100,0.45,FR,1690147430
9,edinburgh of the seven seas,-37.0676,-12.3116,13.34,80,66,11.06,SH,1690147430
10,yuzhno-kurilsk,44.0306,145.8556,15.74,99,98,1.68,RU,1690147430
11,uturoa,-16.7333,-151.4333,25.63,75,15,5.53,PF,1690147430
12,ilulissat,69.2167,-51.1,8.01,87,75,1.54,GL,1690147430
13,thompson,55.7435,-97.8558,21.09,43,20,4.12,CA,1690147430
14,jamestown,42.097,-79.2353,27.51,57,75,1.54,US,1690147430
15,grytviken,-54.2811,-36.5092,-6.04,76,21,3.68,GS,1690147370
16,qinhuangdao,39.9317,119.5883,22.68,88,1,0.66,CN,1690147430
17,bilibino,68.0546,166.4372,17.33,63,83,0.62,RU,1690147430
18,pacasmayo,-7.4006,-79.5714,23.28,72,16,7.14,PE,1690147430
19,waitangi,-43.9535,-176.5597,13.23,96,99,2.68,NZ,1690147369
20,puerto ayora,-0.7393,-90.3518,28.98,74,44,4.89,EC,1690147367
21,kasongo-lunda,-6.4667,16.8167,24.74,31,46,0.21,CD,1690147431
22,margaret river,-33.95,115.0667,9.58,81,0,4.32,AU,1690147396
23,iskateley,67.6803,53.1512,15.22,93,100,3.12,RU,1690147431
24,port lincoln,-34.7333,135.8667,12.67,73,100,2.64,AU,1690147375
25,port mathurin,-19.6833,63.4167,23.2,73,12,7.88,MU,1690147424
26,padang,-0.9492,100.3543,24.03,83,100,0.85,ID,1690147347
27,port-aux-francais,-49.35,70.2167,5.84,87,74,15.79,TF,1690147369
28,bethel,41.3712,-73.414,31.14,47,0,2.57,US,1690147154
29,ushuaia,-54.8,-68.3,0.81,75,75,4.12,AR,1690147420
30,dili,-8.5586,125.5736,24.09,75,35,1.96,TL,1690147432
31,longyearbyen,78.2186,15.6401,10.91,66,0,6.17,SJ,1690147374
32,altamira,-3.2033,-52.2064,30.05,66,20,1.03,BR,1690147433
33,salanso,12.1833,-4.0833,27.45,67,71,2.29,BF,1690147433
34,yantarnyy,54.8717,19.9381,14.92,87,100,1.64,RU,1690147434
35,seeb,23.6703,58.1891,30.05,79,0,2.06,OM,1690147434
36,waliso,8.5333,37.9833,14.94,90,100,0.15,ET,1690147434
37,ulaangom,49.9811,92.0667,15.41,56,14,1.83,MN,1690147434
38,vorgashor,67.5833,63.95,14.63,97,100,2.32,RU,1690147434
39,mooloolaba,-26.6833,153.1167,13.5,89,100,6.67,AU,1690147435
40,santa sylvina,-27.8326,-61.1375,23.27,43,8,3.91,AR,1690147435
41,mirpur khas,25.5251,69.0159,28.13,81,100,0.31,PK,1690147435
42,chonchi,-42.6128,-73.8092,6.18,87,100,1.21,CL,1690147435
43,puerto baquerizo moreno,-0.9,-89.6,26.55,78,75,4.63,EC,1690147435
44,papatowai,-46.5619,169.4708,8.79,95,98,1.5,NZ,1690147435
45,albany,42.6001,-73.9662,29.77,55,55,0.45,US,1690147237
46,carutapera,-1.195,-46.02,26.56,77,89,3.62,BR,1690147436
47,lacy-lakeview,31.6293,-97.1028,39.4,26,0,5.66,US,1690147436
48,mao,39.8885,4.2658,27.31,100,20,1.54,ES,1690147436
49,college,64.8569,-147.8028,27.26,51,75,0.45,US,1690147422
50,ola,59.5833,151.2833,16.19,87,99,0.53,RU,1690147436
51,bredasdorp,-34.5322,20.0403,9.72,79,63,2.53,ZA,1690147436
52,raja,8.4596,25.678,23.73,72,27,1.87,SS,1690147436
53,st. john's,47.5649,-52.7093,24.82,84,75,6.17,CA,1690147390
54,lebu,-37.6167,-73.65,10.06,80,79,2.7,CL,1690147436
55,celestun,20.8667,-90.4,32.25,60,21,5.98,MX,1690147284
56,winnipeg,49.8844,-97.147,23.04,64,75,2.06,CA,1690147242
57,haiku-pauwela,20.9219,-156.3051,29.01,70,40,9.26,US,1690147437
58,freetown,8.484,-13.2299,26.84,83,75,4.12,SL,1690147437
59,hotan,37.0997,79.9269,29.14,27,100,2.82,CN,1690147437
60,blackmans bay,-43.0167,147.3167,10.29,74,78,1.84,AU,1690147376
61,mata-utu,-13.2816,-176.1745,27.14,71,50,7.82,WF,1690147437
62,akureyri,65.6835,-18.0878,9.96,100,100,3.09,IS,1690147437
63,oban,56.4127,-5.4706,10.77,80,16,2.96,GB,1690147437
64,villamontes,-21.25,-63.5,25.21,41,0,2.42,BO,1690147437
65,minas de marcona,-15.2119,-75.1103,16.9,66,3,5.56,PE,1690147437
66,trairi,-3.2778,-39.2689,26.16,74,26,5.41,BR,1690147437
67,kodiak,57.79,-152.4072,14.73,77,0,4.63,US,1690147198
68,ust-nera,64.5667,143.2,15.17,71,35,1.65,RU,1690147438
69,hawaiian paradise park,19.5933,-154.9731,27.07,86,75,4.12,US,1690147438
70,iqaluit,63.7506,-68.5145,9.85,66,40,5.36,CA,1690147438
71,singerei,47.6667,28.1667,18.53,46,3,1.14,MD,1690147438
72,west island,-12.1568,96.8225,24.99,83,75,5.66,CC,1690147438
73,yellowknife,62.456,-114.3525,22.29,40,100,4.63,CA,1690147215
74,kalix,65.853,23.1565,12.73,96,100,2.79,SE,1690147438
75,dudinka,69.4058,86.1778,11.46,82,36,3.58,RU,1690147438
76,hermanus,-34.4187,19.2345,8.22,70,44,2.06,ZA,1690147438
77,manta,-0.95,-80.7333,28.88,74,40,5.81,EC,1690147438
78,qaqortoq,60.7167,-46.0333,11.63,81,72,0.62,GL,1690147438
79,keflavik,64.0049,-22.5624,12.24,94,75,2.06,IS,1690147439
80,papao,-17.75,-149.55,27.82,71,28,3.05,PF,1690147439
81,georgetown,5.4112,100.3354,27.96,92,20,1.54,MY,1690147249
82,anadyr,64.75,177.4833,14.28,76,75,2.68,RU,1690147416
83,weno,7.4515,151.8468,26.97,89,100,2.57,FM,1690147439
84,turar ryskulov,42.5333,70.3333,25.29,28,0,3.54,KZ,1690147439
85,changli,39.7042,119.1506,22.05,89,3,0.88,CN,1690147439
86,gualeguay,-33.1416,-59.3097,14.08,55,89,3.35,AR,1690147439
87,khanty-mansiysk,61.0042,69.0019,17.06,94,20,2.0,RU,1690147439
88,eyl,7.9803,49.8164,26.29,65,67,12.29,SO,1690147439
89,saipan,15.1355,145.701,28.14,100,20,4.63,MP,1690147439
90,aldan,58.6031,125.3894,17.04,83,34,1.18,RU,1690147439
91,orkney,-26.9802,26.6727,14.04,43,95,2.71,ZA,1690147440
92,kolonia,50.9333,6.95,19.98,86,40,3.09,DE,1690147175
93,olonkinbyen,70.9221,-8.7187,4.85,89,97,4.7,SJ,1690147440
94,avarua,-21.2078,-159.775,26.03,100,75,5.14,CK,1690147440
95,faya-largeau,17.9257,19.1043,35.16,14,42,2.09,TD,1690147440
96,yermentau,51.6214,73.1069,17.49,61,69,4.18,KZ,1690147440
97,acarau,-2.8856,-40.12,26.32,77,36,7.62,BR,1690147436
98,ribeira grande,38.5167,-28.7,23.21,82,23,3.58,PT,1690147372
99,turkmenbasy,40.0222,52.9552,27.43,44,0,1.03,TM,1690147404
100,chegdomyn,51.1167,133.0167,16.5,98,100,1.16,RU,1690147440
101,daru,-9.0763,143.2092,24.48,72,100,3.68,PG,1690147440
102,lerwick,60.1545,-1.1494,11.0,85,19,7.21,GB,1690147440
103,hobyo,5.3505,48.5268,25.13,81,47,12.73,SO,1690147440
104,north platte,41.1239,-100.7654,33.95,58,0,4.63,US,1690147441
105,fale old settlement,-9.3852,-171.2468,28.38,77,21,6.1,TK,1690147441
106,kailua-kona,19.6406,-155.9956,30.33,76,40,4.63,US,1690147441
107,lihue,21.9789,-159.3672,28.77,75,100,7.72,US,1690147441
108,salalah,17.0151,54.0924,26.05,94,100,2.06,OM,1690147292
109,washington,47.5001,-120.5015,33.52,22,0,2.19,US,1690147200
110,camana,-16.6228,-72.7111,18.0,79,10,2.58,PE,1690147441
111,les cayes,18.2,-73.75,29.39,71,82,4.96,HT,1690147441
112,zeya,53.75,127.2667,18.68,64,100,1.01,RU,1690147441
113,turtas,58.9417,69.1325,15.29,95,100,1.46,RU,1690147442
114,beloyarskiy,63.7119,66.6722,15.83,92,71,1.57,RU,1690147442
115,prince rupert,54.3161,-130.3201,15.05,79,40,2.57,CA,1690147383
116,jiwani,25.05,61.7417,28.88,85,100,4.08,PK,1690147442
117,kilindoni,-7.9139,39.6668,25.17,76,60,6.31,TZ,1690147442
118,la ronge,55.1001,-105.2842,24.12,40,75,2.57,CA,1690147442
119,saint-pierre,-21.3393,55.4781,20.87,68,0,4.63,RE,1690147442
120,wailua homesteads,22.0669,-159.378,28.44,80,100,7.72,US,1690147368
121,margate,51.3813,1.3862,16.6,85,36,2.68,GB,1690147428
122,zunyi,27.6867,106.9072,21.05,97,93,1.36,CN,1690147294
123,tamanrasset,22.785,5.5228,34.95,8,0,1.54,DZ,1690147442
